file,r_idx,r_idx_2,r_major,r_minor,mean,max,min
R0_r0.glb,0,0,5,1,0.16934915759566213,0.19047619047619063,0.1538461538461536
R0_r1.glb,0,1,5,1.1333333333333333,0.19111833690543178,0.2086772486772489,0.178233618233618
R0_r2.glb,0,2,5,1.2666666666666666,0.2126967613046951,0.2251851851851854,0.20353276353276337
R0_r3.glb,0,3,5,1.4,0.23408443079345206,0.2400000000000003,0.22974358974358952
R0_r4.glb,0,4,5,1.5333333333333332,0.25528134537170266,0.2568660968660971,0.2531216931216927
R0_r5.glb,0,5,5,1.6666666666666663,0.27628750503944693,0.28490028490028513,0.2645502645502643
R0_r6.glb,0,6,5,1.8,0.2971029097966849,0.31384615384615416,0.27428571428571413
R0_r7.glb,0,7,5,1.9333333333333331,0.3177275596434165,0.3437037037037042,0.2823280423280421
R0_r8.glb,0,8,5,2.0666666666666664,0.3381614545796417,0.3744729344729349,0.28867724867724825
R0_r9.glb,0,9,5,2.2,0.35840459460536067,0.4061538461538467,0.293333333333333
R0_r10.glb,0,10,5,2.333333333333333,0.3784569797205732,0.4387464387464392,0.29629629629629595
R0_r11.glb,0,11,5,2.466666666666667,0.39831860992527945,0.4722507122507128,0.2975661375661371
R0_r12.glb,0,12,5,2.6,0.4179894852194793,0.506666666666667,0.29714285714285676
R0_r13.glb,0,13,5,2.7333333333333334,0.43746960560317283,0.5419943019943024,0.29502645502645475
R0_r14.glb,0,14,5,2.8666666666666667,0.45675897107636004,0.578233618233619,0.2912169312169308
R0_r15.glb,0,15,5,3,0.47585758163904085,0.6153846153846159,0.2857142857142855
R0_r16.glb,0,16,5,3.1333333333333333,0.49476543729121536,0.6534472934472939,0.2785185185185182
R0_r17.glb,0,17,5,3.2666666666666666,0.5134825380328836,0.6924216524216528,0.2696296296296292
R0_r18.glb,0,18,5,3.4,0.5320088838640453,0.7323076923076932,0.2590476190476188
R0_r19.glb,0,19,5,3.533333333333333,0.5503444747847008,0.773105413105414,0.2467724867724864
R0_r20.glb,0,20,5,3.6666666666666665,0.5684893107948499,0.8148148148148158,0.2328042328042326
R0_r21.glb,0,21,5,3.8,0.5864433918944927,0.8574358974358982,0.21714285714285697
R0_r22.glb,0,22,5,3.933333333333333,0.6042067180836291,0.9009686609686618,0.19978835978835963
R0_r23.glb,0,23,5,4.066666666666666,0.6217792893622592,0.9454131054131064,0.18074074074074065
R0_r24.glb,0,24,5,4.2,0.639161105730383,0.9907692307692316,0.15999999999999986
R0_r25.glb,0,25,5,4.333333333333334,0.6563521671880004,1.037037037037038,0.13756613756613734
R0_r26.glb,0,26,5,4.466666666666667,0.6733524737351114,1.0842165242165251,0.11343915343915328
R0_r27.glb,0,27,5,4.6,0.6901620253717161,1.132307692307693,0.08761904761904761
R0_r28.glb,0,28,5,4.733333333333333,0.7067808220978146,1.1813105413105427,0.06010582010582002
R0_r29.glb,0,29,5,4.866666666666667,0.7232088639134066,1.2312250712250723,0.03089947089947077
R0_r30.glb,0,30,5,5,0.7394461508184922,1.2820512820512835,0
R1_r0.glb,1,0,5.333333333333333,1,0.18099676689257232,0.20634920634920656,0.16239316239316218
R1_r1.glb,1,1,5.333333333333333,1.1333333333333333,0.20431896077526332,0.226666666666667,0.1879202279202278
R1_r2.glb,1,2,5.333333333333333,1.2666666666666666,0.227450399747448,0.2452910052910055,0.2143589743589741
R1_r3.glb,1,3,5.333333333333333,1.4,0.25039108380912634,0.26222222222222247,0.24170940170940136
R1_r4.glb,1,4,5.333333333333333,1.5333333333333332,0.2731410129602983,0.2774603174603178,0.26997150997150954
R1_r5.glb,1,5,5.333333333333333,1.6666666666666663,0.2957001872009639,0.2991452991452996,0.2910052910052906
R1_r6.glb,1,6,5.333333333333333,1.8,0.31806860653112323,0.3292307692307696,0.3028571428571425
R1_r7.glb,1,7,5.333333333333333,1.9333333333333331,0.3402462709507762,0.36022792022792044,0.3130158730158726
R1_r8.glb,1,8,5.333333333333333,2.0666666666666664,0.36223318045992275,0.3921367521367527,0.32148148148148104
