0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1.0,2.3333333333333326,3.9999999999999987,5.999999999999998,8.33333333333333,1.4166666666666665,3.166666666666666,5.25,7.666666666666665,10.416666666666663,1.8333333333333344,4.0,6.499999999999999,9.33333333333333,12.499999999999996,2.2499999999999996,4.833333333333332,7.749999999999998,10.999999999999998,14.583333333333329,2.666666666666666,5.666666666666666,8.999999999999998,12.666666666666664,16.666666666666668
1.0,2.3311400901911434,3.993420270573431,5.9868405411468615,8.311400901911439,1.4172149774522138,3.165570045095572,5.245065202930074,7.655700450955719,10.397475789172507,1.8344299549044283,4.0,6.4967101352867145,9.324560360764574,12.483550676433579,2.251644932356642,4.834429954904428,7.748355067643358,10.993420270573429,14.569625563694647,2.6688599098088557,5.668859909808855,8.999999999999998,12.662280180382288,16.65570045095572
1.0,2.333333333333334,4.000000000000001,6.000000000000002,8.333333333333337,1.416666666666668,3.1666666666666683,5.250000000000003,7.666666666666668,10.416666666666668,1.8333333333333337,4.0,6.5,9.333333333333336,12.500000000000004,2.250000000000002,4.833333333333336,7.750000000000004,11.000000000000005,14.583333333333343,2.666666666666667,5.666666666666672,9.000000000000004,12.666666666666673,16.666666666666675
1.0,2.331140090191144,3.993420270573432,5.986840541146865,8.311400901911439,1.4172149774522138,3.1655700450955733,5.245065202930076,7.65570045095572,10.397475789172507,1.8344299549044292,4.0,6.496710135286716,9.324560360764576,12.483550676433579,2.251644932356642,4.834429954904429,7.748355067643358,10.993420270573434,14.569625563694652,2.668859909808857,5.668859909808855,8.999999999999998,12.662280180382293,16.65570045095572
1.0,2.333333333333334,3.9999999999999996,6.000000000000001,8.333333333333334,1.4166666666666679,3.166666666666668,5.250000000000001,7.666666666666666,10.41666666666667,1.8333333333333335,4.0,6.499999999999997,9.333333333333336,12.499999999999998,2.2500000000000004,4.833333333333335,7.749999999999999,11.000000000000007,14.583333333333337,2.666666666666667,5.666666666666671,9.000000000000002,12.666666666666671,16.66666666666667
1.0,2.3311400901911443,3.993420270573432,5.986840541146864,8.311400901911439,1.4172149774522154,3.165570045095572,5.245065202930075,7.655700450955718,10.397475789172512,1.834429954904428,4.0,6.496710135286716,9.324560360764577,12.483550676433584,2.2516449323566436,4.834429954904429,7.7483550676433595,10.993420270573433,14.569625563694656,2.6688599098088557,5.6688599098088615,9.000000000000005,12.662280180382288,16.655700450955724
1.0,2.3333333333333335,4.000000000000001,5.999999999999998,8.333333333333336,1.416666666666667,3.166666666666667,5.25,7.666666666666669,10.416666666666664,1.8333333333333341,4.0,6.5000000000000036,9.333333333333334,12.500000000000009,2.2500000000000018,4.833333333333336,7.750000000000004,10.999999999999996,14.583333333333341,2.6666666666666683,5.666666666666668,8.999999999999998,12.666666666666668,16.66666666666667
1.0,2.331140090191143,3.9934202705734303,5.9868405411468615,8.311400901911442,1.4172149774522136,3.1655700450955706,5.24506520293007,7.65570045095572,10.397475789172505,1.8344299549044274,4.0,6.4967101352867145,9.324560360764572,12.483550676433577,2.2516449323566423,4.834429954904427,7.748355067643355,10.993420270573427,14.56962556369465,2.6688599098088552,5.668859909808854,8.999999999999993,12.662280180382282,16.655700450955706
1.0,2.333333333333333,3.9999999999999996,6.000000000000002,8.333333333333334,1.4166666666666663,3.1666666666666674,5.2500000000000036,7.666666666666667,10.416666666666664,1.833333333333333,4.0,6.499999999999998,9.333333333333332,12.499999999999996,2.250000000000001,4.833333333333334,7.750000000000003,10.999999999999996,14.583333333333325,2.6666666666666674,5.666666666666665,9.000000000000004,12.66666666666667,16.666666666666668
1.0,2.3311400901911465,3.993420270573435,5.986840541146871,8.311400901911444,1.4172149774522138,3.165570045095575,5.245065202930079,7.655700450955721,10.39747578917252,1.834429954904429,4.0,6.496710135286717,9.324560360764586,12.48355067643358,2.251644932356643,4.83442995490443,7.748355067643366,10.99342027057344,14.569625563694654,2.668859909808859,5.668859909808855,9.000000000000005,12.6622801803823,16.655700450955734
1.0,2.3333333333333317,3.9999999999999982,5.999999999999994,8.333333333333327,1.4166666666666659,3.166666666666665,5.249999999999995,7.666666666666659,10.416666666666668,1.8333333333333317,4.0,6.499999999999997,9.333333333333327,12.49999999999999,2.249999999999998,4.833333333333331,7.749999999999993,11.000000000000002,14.583333333333318,2.6666666666666665,5.666666666666663,8.999999999999995,12.66666666666666,16.666666666666654
1.0,2.331140090191142,3.993420270573432,5.986840541146859,8.311400901911442,1.4172149774522147,3.1655700450955733,5.245065202930073,7.655700450955728,10.397475789172503,1.834429954904428,4.0,6.4967101352867225,9.324560360764568,12.483550676433588,2.2516449323566428,4.834429954904431,7.74835506764336,10.993420270573438,14.569625563694647,2.668859909808856,5.668859909808859,9.000000000000005,12.662280180382293,16.655700450955724
1.0,2.3333333333333317,3.9999999999999996,6.000000000000001,8.333333333333327,1.416666666666666,3.1666666666666625,5.250000000000002,7.666666666666667,10.416666666666659,1.833333333333334,4.0,6.500000000000003,9.333333333333327,12.500000000000005,2.249999999999998,4.833333333333331,7.75,10.999999999999998,14.583333333333345,2.6666666666666674,5.666666666666664,9.000000000000002,12.66666666666665,16.666666666666657
1.0,2.3311400901911448,3.9934202705734303,5.9868405411468695,8.311400901911435,1.4172149774522138,3.165570045095572,5.245065202930076,7.65570045095571,10.397475789172514,1.8344299549044296,4.0,6.4967101352867145,9.324560360764579,12.48355067643357,2.251644932356641,4.8344299549044285,7.748355067643353,10.993420270573429,14.569625563694649,2.6688599098088575,5.668859909808855,8.999999999999998,12.662280180382288,16.655700450955717
1.0,2.333333333333335,4.0,5.999999999999995,8.333333333333329,1.4166666666666676,3.1666666666666705,5.250000000000003,7.666666666666663,10.41666666666666,1.833333333333333,4.0,6.500000000000002,9.33333333333334,12.5,2.249999999999999,4.833333333333332,7.750000000000002,11.0,14.583333333333336,2.6666666666666665,5.6666666666666705,8.999999999999995,12.666666666666682,16.66666666666666
1.0,2.331140090191144,3.9934202705734294,5.9868405411468615,8.311400901911433,1.417214977452214,3.1655700450955724,5.245065202930075,7.655700450955721,10.397475789172503,1.8344299549044278,4.0,6.496710135286717,9.324560360764576,12.48355067643358,2.2516449323566423,4.834429954904427,7.748355067643365,10.99342027057343,14.569625563694641,2.6688599098088535,5.668859909808856,8.999999999999993,12.66228018038229,16.655700450955734
1.0,2.3333333333333317,3.999999999999996,5.999999999999991,8.333333333333327,1.4166666666666652,3.166666666666661,5.24999999999999,7.666666666666657,10.416666666666664,1.833333333333332,4.0,6.499999999999993,9.333333333333327,12.499999999999979,2.2499999999999996,4.833333333333335,7.749999999999988,11.0,14.58333333333332,2.666666666666665,5.666666666666661,8.999999999999991,12.666666666666645,16.666666666666654
1.0,2.3311400901911425,3.9934202705734347,5.9868405411468615,8.311400901911446,1.417214977452213,3.165570045095569,5.245065202930071,7.655700450955718,10.397475789172512,1.8344299549044285,4.0,6.496710135286717,9.32456036076457,12.483550676433577,2.251644932356641,4.834429954904425,7.748355067643356,10.993420270573424,14.56962556369465,2.6688599098088566,5.668859909808852,9.000000000000007,12.662280180382275,16.6557004509557
1.0,2.333333333333334,4.000000000000004,6.000000000000011,8.333333333333353,1.416666666666669,3.166666666666675,5.250000000000009,7.666666666666671,10.416666666666682,1.8333333333333355,4.0,6.500000000000012,9.333333333333336,12.500000000000009,2.2500000000000027,4.833333333333337,7.750000000000015,11.000000000000005,14.583333333333352,2.66666666666667,5.666666666666676,9.000000000000018,12.6666666666667,16.66666666666671
1.0,2.331140090191143,3.9934202705734276,5.98684054114686,8.311400901911433,1.4172149774522154,3.16557004509557,5.24506520293007,7.655700450955719,10.397475789172509,1.834429954904427,4.0,6.496710135286709,9.324560360764572,12.483550676433568,2.2516449323566397,4.834429954904429,7.748355067643358,10.993420270573436,14.569625563694643,2.6688599098088557,5.6688599098088615,8.999999999999982,12.66228018038228,16.655700450955727
1.0,2.333333333333332,4.0,6.000000000000002,8.33333333333333,1.4166666666666663,3.166666666666665,5.250000000000002,7.666666666666674,10.416666666666666,1.8333333333333353,4.0,6.500000000000003,9.333333333333329,12.500000000000009,2.2500000000000013,4.833333333333332,7.750000000000002,11.000000000000004,14.583333333333343,2.6666666666666683,5.666666666666665,9.000000000000007,12.66666666666666,16.666666666666664
