0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,0.9998309429509475,0.999697373618496,0.9995993062285577,0.9995367512307216,0.9995097152926901,0.999518201296725,0.9995622083381119,0.999641731725643,0.9997567629841169,0.9999072898588518,1.0000932963222104,1.0003147625821245,1.0005716650926093,1.000863976566256,1.0011916659886846,1.0015546986349435,1.0019530360878328,1.002386636258123,1.0028554534066623
1.0,1.0002049320005528,1.000445441286014,1.0007215022048892,1.0010330853443155,1.001380157545682,1.0017626819222085,1.0021806178784567,1.0026339211317452,1.0031225437354603,1.003646434104205,1.004205537040789,1.0047997937649962,1.0054291419441177,1.0060935157252022,1.006792845768987,1.0075270592854766,1.0082960800711125,1.0090998285475072,1.0099382218016861
1.0,0.999608936420824,0.9995352750169915,0.9997790859448731,1.0003401370737801,1.0012178950894572,1.0024115280225427,1.0039199091741158,1.0057416223953306,1.0078749686638564,1.010317973886686,1.0130683978470445,1.0161237442028446,1.0194812714355221,1.0231380046412706,1.0270907480517013,1.0313360981678266,1.0358704573899293,1.0406900480262873,1.0457909265657466
1.0,1.0007128376492214,1.0017454986745735,1.003096995328188,1.004766041026946,1.0067510564227595,1.0090501767794198,1.0116612605767155,1.0145818992509255,1.017809427970883,1.0213409373407456,1.0251732859144285,1.0293031134024395,1.0337268544495586,1.0384407528613548,1.0434408761588714,1.0487231303437452,1.054283274760455,1.060116936948057,1.066219627380535
1.0,0.9995537041484834,0.999980226313241,1.0012784510921915,1.003444995148837,1.0064742510469362,1.0103584590704955,1.01508780490837,1.0206505403886543,1.0270331238967818,1.0342203767235907,1.042195651374041,1.0509410078207098,1.0604373937951397,1.0706648254530549,1.0816025650992993,1.093229293085362,1.1055232714665164,1.1184624974990032,1.1320248455457858
1.0,1.001333938482142,1.0035519263381194,1.0066481200014106,1.010614447894167,1.0154407137923527,1.0211147243608065,1.0276224372455105,1.034948125704373,1.0430745555386816,1.0519831700507742,1.0616542788839338,1.0720672468738555,1.083200679427153,1.0950326014086678,1.1075406270330934,1.1207021187873762,1.1344943339324367,1.1488945576247305,1.1638802221445643
1.0,0.9996760047904734,1.0010386591282485,1.0040810961004685,1.0087881174879842,1.0151365683420046,1.0230958932314254,1.0326288438109947,1.0436923010904373,1.0562381727631651,1.0702143261096275,1.0855655198927863,1.1022343036358027,1.1201618589313367,1.139288764211738,1.1595556710547832,1.180903886119909,1.203275857894812,1.2266155714377203,1.2508688572172826
1.0,1.00204532913592,1.0058081881306786,1.0112694047595914,1.018401656871889,1.027170136082865,1.037533358608805,1.0494440814146002,1.0628502800633268,1.0776961462628247,1.0939230674655718,1.1114705571544943,1.1302771117446597,1.1502809775315204,1.171420818165864,1.193636279282088,1.2168684518997457,1.2410602399818773,1.2661566401213373,1.2921049428770597
1.0,0.999981677951105,1.0027001801955622,1.0081333668612082,1.0162376977272665,1.0269499355243723,1.0401895119416495,1.0558613594225803,1.0738589938992866,1.0940676423893885,1.11636723901992,1.1406351552879828,1.1667485768104109,1.1945864825904384,1.2240312194445322,1.2549696916062714,1.2872942035192296,1.3209030035799274,1.3557005798505568,1.391597757412751
1.0,1.0028222436124021,1.0084470031006993,1.01682777171796,1.0278971398472703,1.0415693910492207,1.057743596591465,1.0763069680091317,1.097138239300286,1.120110885751947,1.1450960353264048,1.1719649812838469,1.2005912535439371,1.230852246336624,1.2626304289192412,1.2958141846919315,1.3302983334425416,1.3659843938223994,1.4027806406804506,1.4406020064766387
