0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.0,1.1673933148368345,1.3477341788875679,1.5410225921521994,1.7472585546307304,1.9664420663231597,2.1985731272294884,2.4436517373497146,2.701677896683842,2.9726516052318663,3.25657286299379,3.5534416699696125,3.8632580261593334,4.186021931562953,4.521733386180473,4.870392390011889,5.231998943057207,5.606553045316422,5.994054696789536,6.394503897476548,6.807900647377461,7.234244946492272,7.673536794820978,8.12577619236359,8.590963139120092,9.069097635090499,9.560179680274805,10.064209274673008,10.581186418285109,11.111111111111109
1.0,1.1673933148368345,1.3477341788875683,1.5410225921521996,1.7472585546307307,1.9664420663231599,2.198573127229489,2.4436517373497155,2.701677896683842,2.972651605231867,3.2565728629937905,3.553441669969612,3.863258026159334,4.186021931562952,4.521733386180473,4.87039239001189,5.231998943057207,5.6065530453164225,5.994054696789536,6.3945038974765485,6.807900647377462,7.234244946492274,7.673536794820977,8.125776192363588,8.590963139120095,9.069097635090502,9.560179680274807,10.064209274673008,10.58118641828511,11.111111111111112
1.0,1.1673933148368347,1.3477341788875685,1.5410225921521996,1.747258554630731,1.9664420663231612,2.1985731272294893,2.443651737349715,2.7016778966838433,2.9726516052318677,3.256572862993792,3.5534416699696116,3.8632580261593366,4.186021931562952,4.521733386180475,4.870392390011891,5.231998943057211,5.606553045316426,5.994054696789537,6.394503897476552,6.807900647377462,7.2342449464922725,7.673536794820975,8.125776192363592,8.590963139120097,9.069097635090506,9.560179680274807,10.06420927467301,10.581186418285112,11.111111111111116
1.0,1.167393314836835,1.3477341788875683,1.5410225921521996,1.7472585546307307,1.9664420663231605,2.198573127229488,2.4436517373497155,2.701677896683843,2.9726516052318663,3.2565728629937905,3.5534416699696116,3.8632580261593343,4.186021931562953,4.5217333861804745,4.870392390011892,5.231998943057208,5.6065530453164225,5.994054696789536,6.39450389747655,6.807900647377462,7.234244946492276,7.673536794820978,8.12577619236359,8.590963139120092,9.0690976350905,9.560179680274803,10.064209274673008,10.581186418285112,11.111111111111107
1.0,1.1673933148368347,1.3477341788875683,1.5410225921522,1.74725855463073,1.966442066323158,2.1985731272294875,2.4436517373497146,2.70167789668384,2.972651605231867,3.2565728629937905,3.5534416699696116,3.8632580261593303,4.186021931562954,4.521733386180474,4.870392390011889,5.2319989430572065,5.606553045316426,5.994054696789532,6.39450389747655,6.80790064737746,7.2342449464922725,7.673536794820975,8.125776192363594,8.590963139120094,9.069097635090506,9.560179680274803,10.064209274673013,10.581186418285109,11.111111111111116
1.0,1.1673933148368347,1.347734178887569,1.5410225921522005,1.7472585546307315,1.9664420663231612,2.19857312722949,2.4436517373497164,2.7016778966838433,2.9726516052318686,3.2565728629937913,3.553441669969614,3.8632580261593343,4.186021931562954,4.521733386180472,4.870392390011891,5.231998943057212,5.606553045316424,5.994054696789539,6.394503897476551,6.807900647377464,7.234244946492277,7.673536794820988,8.125776192363594,8.590963139120099,9.069097635090506,9.560179680274814,10.064209274673013,10.581186418285116,11.111111111111118
1.0,1.1673933148368363,1.3477341788875676,1.5410225921522005,1.7472585546307338,1.9664420663231643,2.1985731272294893,2.4436517373497195,2.7016778966838486,2.9726516052318672,3.2565728629937976,3.5534416699696174,3.8632580261593397,4.186021931562958,4.521733386180477,4.870392390011899,5.23199894305722,5.606553045316434,5.994054696789546,6.394503897476558,6.807900647377475,7.234244946492279,7.673536794820981,8.125776192363608,8.590963139120108,9.06909763509052,9.56017968027483,10.064209274673027,10.58118641828511,11.111111111111112
1.0,1.1673933148368347,1.3477341788875683,1.5410225921521996,1.7472585546307313,1.9664420663231605,2.198573127229489,2.443651737349714,2.7016778966838437,2.9726516052318672,3.2565728629937905,3.5534416699696143,3.8632580261593343,4.186021931562954,4.521733386180477,4.87039239001189,5.231998943057209,5.606553045316426,5.994054696789539,6.394503897476551,6.807900647377468,7.234244946492275,7.67353679482098,8.125776192363597,8.590963139120094,9.069097635090504,9.560179680274809,10.064209274673013,10.581186418285112,11.111111111111118
1.0,1.1673933148368365,1.3477341788875703,1.5410225921522,1.747258554630732,1.9664420663231628,2.198573127229491,2.4436517373497213,2.7016778966838446,2.972651605231873,3.256572862993791,3.553441669969617,3.863258026159339,4.186021931562951,4.5217333861804745,4.870392390011896,5.231998943057212,5.606553045316432,5.994054696789532,6.394503897476557,6.807900647377468,7.234244946492284,7.673536794821006,8.125776192363588,8.590963139120088,9.06909763509052,9.560179680274807,10.06420927467301,10.581186418285132,11.111111111111121
1.0,1.1673933148368336,1.3477341788875672,1.5410225921521987,1.7472585546307287,1.9664420663231594,2.198573127229487,2.443651737349716,2.70167789668384,2.972651605231866,3.256572862993789,3.5534416699696108,3.8632580261593312,4.186021931562953,4.521733386180469,4.870392390011887,5.231998943057204,5.60655304531642,5.99405469678953,6.3945038974765485,6.8079006473774575,7.234244946492274,7.6735367948209765,8.125776192363585,8.590963139120094,9.069097635090502,9.560179680274805,10.064209274672999,10.581186418285105,11.111111111111102
1.0,1.1673933148368356,1.3477341788875672,1.5410225921521927,1.7472585546307222,1.9664420663231565,2.198573127229484,2.4436517373497066,2.701677896683838,2.972651605231859,3.2565728629937722,3.5534416699696036,3.863258026159321,4.186021931562937,4.521733386180459,4.870392390011861,5.231998943057206,5.606553045316406,5.994054696789511,6.394503897476533,6.807900647377436,7.234244946492244,7.673536794820969,8.125776192363563,8.590963139120062,9.069097635090465,9.560179680274773,10.064209274672976,10.581186418285082,11.111111111111105
1.0,1.1673933148368354,1.3477341788875679,1.5410225921521996,1.7472585546307313,1.96644206632316,2.198573127229489,2.443651737349714,2.701677896683842,2.9726516052318654,3.2565728629937887,3.5534416699696116,3.863258026159332,4.1860219315629505,4.521733386180471,4.870392390011895,5.231998943057213,5.606553045316424,5.994054696789539,6.394503897476548,6.807900647377462,7.234244946492274,7.673536794820984,8.12577619236359,8.59096313912009,9.069097635090495,9.560179680274803,10.064209274673011,10.581186418285114,11.111111111111109
1.0,1.1673933148368394,1.3477341788875667,1.5410225921521976,1.7472585546307307,1.9664420663231628,2.1985731272294875,2.4436517373497146,2.7016778966838464,2.9726516052318743,3.2565728629937953,3.5534416699696147,3.8632580261593334,4.186021931562957,4.521733386180492,4.8703923900118955,5.231998943057216,5.606553045316436,5.994054696789529,6.394503897476565,6.807900647377482,7.234244946492292,7.673536794820993,8.1257761923636,8.5909631391201,9.069097635090506,9.560179680274828,10.064209274673019,10.581186418285116,11.111111111111116
1.0,1.1673933148368338,1.3477341788875674,1.5410225921522012,1.747258554630731,1.9664420663231599,2.1985731272294866,2.4436517373497146,2.701677896683841,2.972651605231868,3.2565728629937913,3.553441669969614,3.863258026159335,4.186021931562952,4.521733386180474,4.870392390011886,5.2319989430572065,5.606553045316424,5.994054696789531,6.394503897476548,6.807900647377464,7.234244946492273,7.673536794820977,8.125776192363585,8.59096313912009,9.069097635090506,9.560179680274802,10.064209274673006,10.581186418285109,11.111111111111105
1.0,1.1673933148368365,1.3477341788875719,1.5410225921522,1.7472585546307304,1.9664420663231628,2.198573127229491,2.4436517373497213,2.7016778966838446,2.972651605231873,3.2565728629938,3.553441669969614,3.8632580261593454,4.186021931562958,4.5217333861804745,4.870392390011896,5.231998943057206,5.606553045316432,5.994054696789538,6.394503897476564,6.807900647377468,7.23424494649229,7.673536794820968,8.125776192363588,8.590963139120088,9.069097635090495,9.56017968027482,10.064209274672985,10.581186418285107,11.111111111111082
1.0,1.1673933148368363,1.3477341788875694,1.5410225921521994,1.7472585546307327,1.96644206632316,2.1985731272294893,2.443651737349719,2.701677896683847,2.972651605231867,3.2565728629937936,3.5534416699696108,3.8632580261593357,4.186021931562959,4.521733386180477,4.870392390011895,5.231998943057212,5.606553045316425,5.994054696789544,6.394503897476555,6.8079006473774655,7.2342449464922804,7.673536794820983,8.125776192363592,8.590963139120106,9.069097635090507,9.560179680274816,10.06420927467301,10.581186418285107,11.111111111111127
1.0,1.1673933148368365,1.3477341788875656,1.5410225921522,1.7472585546307366,1.9664420663231597,2.198573127229485,2.443651737349715,2.7016778966838384,2.972651605231873,3.2565728629937816,3.553441669969614,3.863258026159339,4.186021931562958,4.521733386180481,4.870392390011896,5.231998943057218,5.60655304531642,5.994054696789538,6.394503897476564,6.807900647377468,7.234244946492278,7.673536794821018,8.125776192363576,8.5909631391201,9.069097635090507,9.56017968027482,10.06420927467301,10.581186418285082,11.111111111111109
1.0,1.1673933148368347,1.3477341788875685,1.5410225921522003,1.7472585546307318,1.9664420663231628,2.1985731272294897,2.443651737349716,2.7016778966838424,2.9726516052318694,3.256572862993792,3.5534416699696156,3.863258026159335,4.186021931562953,4.52173338618047,4.870392390011891,5.231998943057212,5.606553045316423,5.994054696789541,6.394503897476546,6.807900647377457,7.234244946492264,7.673536794820979,8.125776192363588,8.59096313912009,9.0690976350905,9.560179680274809,10.06420927467301,10.581186418285114,11.111111111111107
1.0,1.1673933148368334,1.3477341788875719,1.541022592152197,1.7472585546307335,1.9664420663231597,2.1985731272294973,2.4436517373497213,2.701677896683857,2.97265160523186,3.256572862993794,3.5534416699696205,3.8632580261593454,4.186021931562958,4.521733386180481,4.87039239001191,5.231998943057206,5.606553045316432,5.994054696789552,6.394503897476564,6.807900647377481,7.23424494649229,7.673536794820955,8.125776192363626,8.5909631391201,9.069097635090507,9.56017968027482,10.064209274673034,10.581186418285132,11.111111111111134
1.0,1.1673933148368334,1.347734178887567,1.5410225921521978,1.747258554630728,1.9664420663231563,2.1985731272294866,2.4436517373497124,2.701677896683839,2.97265160523186,3.256572862993786,3.5534416699696068,3.86325802615933,4.186021931562949,4.521733386180471,4.870392390011887,5.2319989430572,5.606553045316414,5.994054696789526,6.394503897476551,6.8079006473774575,7.234244946492272,7.673536794820972,8.125776192363595,8.590963139120094,9.069097635090497,9.560179680274793,10.06420927467301,10.581186418285112,11.111111111111102
1.0,1.1673933148368327,1.3477341788875676,1.5410225921521983,1.747258554630731,1.9664420663231597,2.1985731272294906,2.44365173734972,2.7016778966838486,2.97265160523187,3.25657286299379,3.5534416699696156,3.8632580261593397,4.186021931562957,4.5217333861804665,4.870392390011894,5.231998943057201,5.6065530453164145,5.99405469678952,6.394503897476543,6.807900647377472,7.2342449464922804,7.673536794820956,8.125776192363576,8.590963139120074,9.069097635090504,9.560179680274764,10.06420927467303,10.58118641828515,11.111111111111098
1.0,1.1673933148368345,1.3477341788875665,1.5410225921522014,1.7472585546307313,1.966442066323162,2.1985731272294893,2.4436517373497177,2.7016778966838433,2.972651605231872,3.256572862993794,3.553441669969618,3.863258026159334,4.186021931562958,4.521733386180473,4.870392390011901,5.231998943057212,5.606553045316428,5.994054696789545,6.394503897476551,6.8079006473774735,7.234244946492279,7.673536794820979,8.125776192363592,8.59096313912009,9.06909763509051,9.560179680274814,10.064209274673011,10.581186418285114,11.11111111111113
1.0,1.1673933148368334,1.3477341788875656,1.5410225921522,1.7472585546307273,1.9664420663231659,2.198573127229485,2.4436517373497213,2.7016778966838384,2.972651605231879,3.256572862993788,3.5534416699696076,3.863258026159327,4.18602193156297,4.521733386180481,4.870392390011884,5.231998943057206,5.606553045316432,5.994054696789526,6.39450389747655,6.807900647377481,7.234244946492278,7.67353679482098,8.1257761923636,8.5909631391201,9.069097635090507,9.56017968027482,10.064209274672985,10.581186418285082,11.111111111111109
1.0,1.1673933148368336,1.347734178887569,1.541022592152199,1.74725855463073,1.9664420663231597,2.1985731272294853,2.4436517373497146,2.701677896683839,2.9726516052318663,3.256572862993787,3.553441669969606,3.8632580261593303,4.186021931562953,4.521733386180473,4.870392390011883,5.2319989430572065,5.606553045316423,5.994054696789528,6.3945038974765405,6.807900647377452,7.2342449464922725,7.67353679482098,8.125776192363581,8.590963139120086,9.069097635090491,9.560179680274798,10.064209274672999,10.58118641828509,11.111111111111093
1.0,1.1673933148368365,1.3477341788875687,1.541022592152197,1.7472585546307335,1.9664420663231597,2.1985731272294973,2.443651737349709,2.701677896683851,2.972651605231867,3.256572862993794,3.5534416699696205,3.863258026159339,4.186021931562958,4.521733386180481,4.870392390011896,5.231998943057206,5.60655304531642,5.994054696789538,6.39450389747655,6.807900647377468,7.234244946492278,7.67353679482098,8.125776192363626,8.590963139120127,9.069097635090507,9.56017968027482,10.06420927467301,10.581186418285132,11.111111111111134
