column_index,mean,max,min
0,0.4166401885027936,138.4330954577611,0.12525523729150126
1,0.5994297069253226,201.0611206518697,0.17989014575337922
2,0.780971014188301,264.36742584022846,0.2107470542301874
3,0.961264110291729,328.3520110228384,0.22709772781890716
4,1.1403089952356074,393.0148761996997,0.22787862727081373
5,1.3181056690199358,458.356021370812,0.2136157887043923
6,1.4946541316447146,524.3754465361768,0.18363875716056097
7,1.6699543831099424,591.0731516957907,0.1392517187654136
8,1.8440064234156208,658.4491368496567,0.07718930874084215
9,2.0168102525617493,726.5034019977742,0
10,0.509751238058439,168.8144730627195,0.14845065160474222
11,0.7339234451723661,244.9453327479208,0.22783051392116685
12,0.9568474411267424,321.75447242737215,0.28103311902555445
13,1.1785232259215683,399.2418921010747,0.3163442297418471
14,1.3989507995568446,477.4075917690285,0.33711814791807476
15,1.618130162032571,556.2515714312335,0.34224256389416263
16,1.836061313348748,635.7738310876911,0.33338036477245014
17,2.0527442535053733,715.9743707383973,0.30719167973725275
18,2.26817898250245,796.85319038335615,0.2665503059472045
19,2.4823655003399767,878.4102900225661,0.21149892530584016
20,0.6028622876140844,199.19585066767783,0.171646065917983
21,0.8684171834194098,288.829544843972,0.2613350012625149
22,1.1327238680651837,379.1415190145159,0.3496042323262128
23,1.3957823415514081,470.1317731793111,0.4033819869350573
24,1.6575926038780822,561.8003073383575,0.4432784084305929
25,1.9181546550452064,654.1471214916552,0.4684036881019041
26,2.1774684950527807,747.1722156392041,0.4780970815547581
27,2.435534123900805,840.8755897810041,0.4731840432542553
28,2.6923515415892796,935.2572439170552,0.4526459383754589
29,2.947920748118204,1030.317178047358,0.4157502291905097
30,0.6959733371697288,229.5772282726346,0.1948414802312241
31,1.002910921666452,332.71375694002154,0.294839488603863
32,1.3086002950036257,436.5285656016597,0.4030847553989875
33,1.6130414571812464,541.0216542575457,0.48886476503437454
34,1.9162344081993195,646.1930229076866,0.5471493036593357
35,2.2181791480578408,752.0426715520748,0.5915495902964252
36,2.5188756767568163,858.5706001907215,0.6210262314628185
37,2.818323994296235,965.7768088236088,0.6354421802526005
38,3.116524100676108,1073.6612974507548,0.6344783027733066
39,3.4134759958964334,1182.2240660721518,0.6199221658991844
40,0.789084386725374,259.9586058775928,0.21803689454446512
41,1.1374046599134957,376.5979690360725,0.32834397594521103
42,1.4844767219420674,493.91561218880344,0.44689831576844274
43,1.8303005728110855,611.911535335782,0.5731363294848681
44,1,1,1
45,1.1514108638310048,1.202181818181822,1.082666666666665
46,1.3004523107878039,1.4160000000000026,1.1439999999999977
47,1.447124340870397,1.6414545454545504,1.1839999999999975
48,1.591426954078785,1.8785454545454587,1.2026666666666648
49,1.7333601504129674,2.1272727272727328,1.1999999999999968
50,0.414975312686485,0.5160000000000017,0.34036363636363526
51,0.5955584825710053,0.7106666666666679,0.5105454545454534
52,0.7737722355813201,0.8840000000000019,0.6923636363636351
53,0.9496165717174291,1.036000000000002,0.8858181818181795
54,1.1230914909793326,1.1666666666666683,1.0909090909090875
55,1.2941969933670308,1.3076363636363677,1.2759999999999971
56,1.462933078880523,1.5360000000000025,1.3639999999999963
57,1.6292997475198094,1.7760000000000042,1.4306666666666634
58,1.7932969992848908,2.027636363636369,1.4759999999999966
59,1.9549248341757663,2.290909090909095,1.4999999999999971
60,0.45928824943904484,0.5760000000000018,0.3730909090909082
61,0.6595660578802585,0.7973333333333354,0.5578181818181803
62,0.8574744494472665,0.9973333333333356,0.7541818181818167
63,1.0530134241400688,1.1760000000000024,0.9621818181818154
64,1.2461829819586656,1.3333333333333368,1.1818181818181794
65,1.436983122903057,1.469333333333336,1.4130909090909058
66,1.6254138469732424,1.6560000000000037,1.583999999999998
67,1.8114751541692222,1.910545454545458,1.6773333333333302
68,1.9951670444909966,2.176727272727278,1.7493333333333296
69,2.1764895179385655,2.4545454545454612,1.7999999999999965
70,0.5036011861916045,0.6360000000000013,0.4058181818181808
71,0.7235736331895114,0.884000000000002,0.6050909090909075
72,0.9411766633132127,1.1106666666666696,0.8159999999999977
73,1.1564102765627082,1.3160000000000025,1.0385454545454524
74,1.3692744729379984,1.500000000000003,1.2727272727272696
75,1.5797692524390827,1.662666666666671,1.5185454545454518
76,1.7878946150659616,1.804000000000004,1.775999999999996
77,1.9936505608186346,2.0450909090909133,1.923999999999996
78,2.1970370896971025,2.3258181818181876,2.0226666666666624
79,2.398054201701364,2.618181818181826,2.0999999999999956
80,0.5479141229441643,0.6960000000000015,0.43854545454545346
81,0.7875812084987645,0.9706666666666685,0.6523636363636349
82,1.024878877179159,1.2240000000000033,0.8778181818181798
83,1.2598071289853476,1.456000000000002,1.114909090909088
84,1.492365963917331,1.6666666666666692,1.3636363636363602
85,1.7225553819751087,1.8560000000000048,1.6239999999999954
86,1.9503753831586805,2.0240000000000045,1.895999999999995
87,2.175825967468047,2.1796363636363685,2.170666666666664
88,2.398907134903208,2.474909090909097,2.295999999999995
89,2.6196188854641633,2.781818181818187,2.3999999999999937
90,0.5922270596967242,0.7560000000000022,0.47127272727272657
91,0.8515887838080174,1.057333333333336,0.6996363636363616
92,1.108581091045105,1.337333333333336,0.9396363636363612
93,1.363203981407987,1.5960000000000034,1.1912727272727237
94,1.6154574548966638,1.8333333333333357,1.45454545454545
95,1.8653415115111347,2.049333333333337,1.7294545454545396
96,2.1128561512513997,2.244000000000005,2.015999999999994
97,2.3580013741174595,2.417333333333339,2.314181818181813
98,2.6007771801093136,2.624000000000007,2.5693333333333275
99,2.841183569226962,2.945454545454557,2.699999999999995
